split,class,image,label_source,confidence,x_center,y_center,width,height,source
train,router,data\yolo_sws405\images\train\router_00012_Image_96.jpg,center_fallback,0.0000,0.500000,0.500000,0.900000,0.900000,data\raw\routers\Image_96.jpg
train,router,data\yolo_sws405\images\train\router_00013_Image_74.jpg,center_fallback,0.0000,0.500000,0.500000,0.900000,0.900000,data\raw\routers\Image_74.webp
train,desktop_pc,data\yolo_sws405\images\train\desktop_pc_00014_office_desktop_pc_tower_and_monitor_Image_109.jpg,center_fallback,0.0000,0.500000,0.500000,0.900000,0.900000,data\raw\desktop_pcs\office_desktop_pc_tower_and_monitor_Image_109.jpg
train,router,data\yolo_sws405\images\train\router_00015_Image_12.jpg,center_fallback,0.0000,0.500000,0.500000,0.900000,0.900000,data\raw\routers\Image_12.jpg
train,smart_board,data\yolo_sws405\images\train\smart_board_00016_Clevertouch_board_meeting_room_Image_20.jpg,center_fallback,0.0000,0.500000,0.500000,0.900000,0.900000,data\raw\smart_boards\Clevertouch_board_meeting_room_Image_20.png
train,cctv_camera,data\yolo_sws405\images\train\cctv_camera_00017_outdoor_bullet_security_camera_mounted_Image_87.jpg,model_pseudo,0.9015,0.532485,0.488331,0.721224,0.489772,data\raw\cctv_cameras\outdoor_bullet_security_camera_mounted_Image_87.jpg
train,smart_board,data\yolo_sws405\images\train\smart_board_00018_Promethean_interactive_display_classroom_Image_16.jpg,center_fallback,0.0000,0.500000,0.500000,0.900000,0.900000,data\raw\smart_boards\Promethean_interactive_display_classroom_Image_16.jpg
train,cctv_camera,data\yolo_sws405\images\train\cctv_camera_00019_outdoor_bullet_security_camera_mounted_Image_28.jpg,model_pseudo,0.8139,0.510595,0.504793,0.960237,0.917954,data\raw\cctv_cameras\outdoor_bullet_security_camera_mounted_Image_28.jpg
train,cctv_camera,data\yolo_sws405\images\train\cctv_camera_00020_outdoor_bullet_security_camera_mounted_Image_104.jpg,model_pseudo,0.9769,0.505458,0.473187,0.964213,0.812619,data\raw\cctv_cameras\outdoor_bullet_security_camera_mounted_Image_104.jpg
train,smart_board,data\yolo_sws405\images\train\smart_board_00021_BenQ_interactive_flat_panel_school_Image_50.jpg,center_fallback,0.0000,0.500000,0.500000,0.900000,0.900000,data\raw\smart_boards\BenQ_interactive_flat_panel_school_Image_50.png
train,smart_board,data\yolo_sws405\images\train\smart_board_00022_Promethean_interactive_display_classroom_Image_32.jpg,model_pseudo,0.7200,0.516313,0.355765,0.967373,0.662783,data\raw\smart_boards\Promethean_interactive_display_classroom_Image_32.jpg
train,router,data\yolo_sws405\images\train\router_00023_Image_78.jpg,model_pseudo,0.8444,0.485595,0.507505,0.763597,0.984990,data\raw\routers\Image_78.jpg
train,desktop_pc,data\yolo_sws405\images\train\desktop_pc_00024_Image_7.jpg,model_pseudo,0.9663,0.505890,0.432882,0.602448,0.669863,data\raw\desktop_pcs\Image_7.jpg
train,smart_board,data\yolo_sws405\images\train\smart_board_00025_BenQ_interactive_flat_panel_school_Image_56.jpg,center_fallback,0.0000,0.500000,0.500000,0.900000,0.900000,data\raw\smart_boards\BenQ_interactive_flat_panel_school_Image_56.jpg
train,desktop_pc,data\yolo_sws405\images\train\desktop_pc_00026_computer_lab_desktop_computers_Image_30.jpg,model_pseudo,0.7927,0.161440,0.536452,0.115455,0.329065,data\raw\desktop_pcs\computer_lab_desktop_computers_Image_30.jpg
train,desktop_pc,data\yolo_sws405\images\train\desktop_pc_00027_computer_lab_desktop_computers_Image_84.jpg,model_pseudo,0.9667,0.208569,0.445741,0.336194,0.730516,data\raw\desktop_pcs\computer_lab_desktop_computers_Image_84.jpg
train,router,data\yolo_sws405\images\train\router_00028_home_wifi_router_with_antennas_Image_105.jpg,model_pseudo,0.8746,0.503125,0.501263,0.720456,0.804979,data\raw\routers\home_wifi_router_with_antennas_Image_105.jpg
train,desktop_pc,data\yolo_sws405\images\train\desktop_pc_00029_office_desktop_pc_tower_and_monitor_Image_66.jpg,center_fallback,0.0000,0.500000,0.500000,0.900000,0.900000,data\raw\desktop_pcs\office_desktop_pc_tower_and_monitor_Image_66.jpg
train,router,data\yolo_sws405\images\train\router_00030_home_wifi_router_with_antennas_Image_57.jpg,model_pseudo,0.9633,0.389522,0.513996,0.535305,0.957808,data\raw\routers\home_wifi_router_with_antennas_Image_57.jpg
train,cctv_camera,data\yolo_sws405\images\train\cctv_camera_00031_indoor_dome_cctv_camera_Image_24.jpg,model_pseudo,0.2264,0.179668,0.537636,0.262638,0.457386,data\raw\cctv_cameras\indoor_dome_cctv_camera_Image_24.jpg
train,desktop_pc,data\yolo_sws405\images\train\desktop_pc_00032_office_desktop_pc_tower_and_monitor_Image_68.jpg,model_pseudo,0.8643,0.027700,0.689621,0.055114,0.408860,data\raw\desktop_pcs\office_desktop_pc_tower_and_monitor_Image_68.jpeg
train,router,data\yolo_sws405\images\train\router_00033_home_wifi_router_with_antennas_Image_91.jpg,model_pseudo,0.9639,0.217026,0.587415,0.215417,0.571746,data\raw\routers\home_wifi_router_with_antennas_Image_91.jpg
train,cctv_camera,data\yolo_sws405\images\train\cctv_camera_00034_outdoor_bullet_security_camera_mounted_Image_65.jpg,model_pseudo,0.9682,0.561221,0.510087,0.718415,0.757797,data\raw\cctv_cameras\outdoor_bullet_security_camera_mounted_Image_65.jpg
train,smart_board,data\yolo_sws405\images\train\smart_board_00035_Promethean_interactive_display_classroom_Image_63.jpg,center_fallback,0.0000,0.500000,0.500000,0.900000,0.900000,data\raw\smart_boards\Promethean_interactive_display_classroom_Image_63.webp
train,cctv_camera,data\yolo_sws405\images\train\cctv_camera_00036_indoor_dome_cctv_camera_Image_39.jpg,model_pseudo,0.9733,0.491400,0.491518,0.854464,0.927093,data\raw\cctv_cameras\indoor_dome_cctv_camera_Image_39.jpg
train,smart_board,data\yolo_sws405\images\train\smart_board_00037_BenQ_interactive_flat_panel_school_Image_61.jpg,model_pseudo,0.9899,0.480037,0.459381,0.659089,0.687042,data\raw\smart_boards\BenQ_interactive_flat_panel_school_Image_61.jpeg
train,router,data\yolo_sws405\images\train\router_00038_Image_47.jpg,center_fallback,0.0000,0.500000,0.500000,0.900000,0.900000,data\raw\routers\Image_47.jpg
train,cctv_camera,data\yolo_sws405\images\train\cctv_camera_00039_outdoor_bullet_security_camera_mounted_Image_22.jpg,center_fallback,0.0000,0.500000,0.500000,0.900000,0.900000,data\raw\cctv_cameras\outdoor_bullet_security_camera_mounted_Image_22.png
train,cctv_camera,data\yolo_sws405\images\train\cctv_camera_00040_outdoor_bullet_security_camera_mounted_Image_41.jpg,model_pseudo,0.8490,0.503184,0.500097,0.410289,0.173195,data\raw\cctv_cameras\outdoor_bullet_security_camera_mounted_Image_41.jpg
train,router,data\yolo_sws405\images\train\router_00041_Image_35.jpg,model_pseudo,0.8676,0.500264,0.496420,0.992913,0.992840,data\raw\routers\Image_35.jpg
train,desktop_pc,data\yolo_sws405\images\train\desktop_pc_00042_office_desktop_pc_tower_and_monitor_Image_9.jpg,center_fallback,0.0000,0.500000,0.500000,0.900000,0.900000,data\raw\desktop_pcs\office_desktop_pc_tower_and_monitor_Image_9.jpg
train,router,data\yolo_sws405\images\train\router_00043_home_wifi_router_with_antennas_Image_96.jpg,model_pseudo,0.8862,0.496633,0.556570,0.760462,0.638915,data\raw\routers\home_wifi_router_with_antennas_Image_96.jpg
train,desktop_pc,data\yolo_sws405\images\train\desktop_pc_00044_Image_2.jpg,model_pseudo,0.8447,0.410771,0.516299,0.821542,0.416274,data\raw\desktop_pcs\Image_2.jpg
train,desktop_pc,data\yolo_sws405\images\train\desktop_pc_00045_computer_lab_desktop_computers_Image_108.jpg,model_pseudo,0.9236,0.091731,0.462709,0.083826,0.195078,data\raw\desktop_pcs\computer_lab_desktop_computers_Image_108.jpg
train,router,data\yolo_sws405\images\train\router_00046_home_wifi_router_with_antennas_Image_86.jpg,model_pseudo,0.9512,0.500972,0.510055,0.757087,0.676977,data\raw\routers\home_wifi_router_with_antennas_Image_86.jpg
train,desktop_pc,data\yolo_sws405\images\train\desktop_pc_00047_office_desktop_pc_tower_and_monitor_Image_7.jpg,center_fallback,0.0000,0.500000,0.500000,0.900000,0.900000,data\raw\desktop_pcs\office_desktop_pc_tower_and_monitor_Image_7.jpg
train,router,data\yolo_sws405\images\train\router_00048_home_wifi_router_with_antennas_Image_22.jpg,model_pseudo,0.9740,0.500869,0.637949,0.366961,0.423437,data\raw\routers\home_wifi_router_with_antennas_Image_22.jpg
train,router,data\yolo_sws405\images\train\router_00049_home_wifi_router_with_antennas_Image_71.jpg,model_pseudo,0.9555,0.505404,0.500202,0.615820,0.752735,data\raw\routers\home_wifi_router_with_antennas_Image_71.jpg
train,desktop_pc,data\yolo_sws405\images\train\desktop_pc_00050_computer_lab_desktop_computers_Image_46.jpg,model_pseudo,0.9329,0.107298,0.552066,0.202573,0.344198,data\raw\desktop_pcs\computer_lab_desktop_computers_Image_46.jpg
train,smart_board,data\yolo_sws405\images\train\smart_board_00051_Promethean_interactive_display_classroom_Image_13.jpg,center_fallback,0.0000,0.500000,0.500000,0.900000,0.900000,data\raw\smart_boards\Promethean_interactive_display_classroom_Image_13.png
train,smart_board,data\yolo_sws405\images\train\smart_board_00052_Clevertouch_board_meeting_room_Image_56.jpg,center_fallback,0.0000,0.500000,0.500000,0.900000,0.900000,data\raw\smart_boards\Clevertouch_board_meeting_room_Image_56.jpg
train,router,data\yolo_sws405\images\train\router_00053_Image_68.jpg,center_fallback,0.0000,0.500000,0.500000,0.900000,0.900000,data\raw\routers\Image_68.jpeg
train,desktop_pc,data\yolo_sws405\images\train\desktop_pc_00054_Image_5.jpg,model_pseudo,0.9035,0.467986,0.432820,0.921890,0.582105,data\raw\desktop_pcs\Image_5.jpg
train,cctv_camera,data\yolo_sws405\images\train\cctv_camera_00055_indoor_dome_cctv_camera_Image_81.jpg,center_fallback,0.0000,0.500000,0.500000,0.900000,0.900000,data\raw\cctv_cameras\indoor_dome_cctv_camera_Image_81.jpeg
train,cctv_camera,data\yolo_sws405\images\train\cctv_camera_00056_outdoor_bullet_security_camera_mounted_Image_60.jpg,model_pseudo,0.9355,0.518323,0.499088,0.721581,0.984662,data\raw\cctv_cameras\outdoor_bullet_security_camera_mounted_Image_60.webp
train,desktop_pc,data\yolo_sws405\images\train\desktop_pc_00057_office_desktop_pc_tower_and_monitor_Image_74.jpg,center_fallback,0.0000,0.500000,0.500000,0.900000,0.900000,data\raw\desktop_pcs\office_desktop_pc_tower_and_monitor_Image_74.jpeg
train,desktop_pc,data\yolo_sws405\images\train\desktop_pc_00058_computer_lab_desktop_computers_Image_52.jpg,model_pseudo,0.9427,0.859397,0.442855,0.241500,0.188744,data\raw\desktop_pcs\computer_lab_desktop_computers_Image_52.jpg
train,smart_board,data\yolo_sws405\images\train\smart_board_00059_BenQ_interactive_flat_panel_school_Image_31.jpg,center_fallback,0.0000,0.500000,0.500000,0.900000,0.900000,data\raw\smart_boards\BenQ_interactive_flat_panel_school_Image_31.jpg
train,desktop_pc,data\yolo_sws405\images\train\desktop_pc_00060_office_desktop_pc_tower_and_monitor_Image_3.jpg,model_pseudo,0.9582,0.490122,0.407630,0.364929,0.542380,data\raw\desktop_pcs\office_desktop_pc_tower_and_monitor_Image_3.jpg
train,desktop_pc,data\yolo_sws405\images\train\desktop_pc_00061_office_desktop_pc_tower_and_monitor_Image_50.jpg,center_fallback,0.0000,0.500000,0.500000,0.900000,0.900000,data\raw\desktop_pcs\office_desktop_pc_tower_and_monitor_Image_50.jpg
train,router,data\yolo_sws405\images\train\router_00062_home_wifi_router_with_antennas_Image_51.jpg,model_pseudo,0.9120,0.358754,0.438936,0.669911,0.406924,data\raw\routers\home_wifi_router_with_antennas_Image_51.jpg
train,router,data\yolo_sws405\images\train\router_00063_Image_77.jpg,model_pseudo,0.7449,0.501575,0.540194,0.479841,0.669822,data\raw\routers\Image_77.png
train,desktop_pc,data\yolo_sws405\images\train\desktop_pc_00064_office_desktop_pc_tower_and_monitor_Image_52.jpg,center_fallback,0.0000,0.500000,0.500000,0.900000,0.900000,data\raw\desktop_pcs\office_desktop_pc_tower_and_monitor_Image_52.jpeg
train,router,data\yolo_sws405\images\train\router_00065_home_wifi_router_with_antennas_Image_85.jpg,model_pseudo,0.9653,0.497195,0.450725,0.349994,0.759950,data\raw\routers\home_wifi_router_with_antennas_Image_85.jpg
train,router,data\yolo_sws405\images\train\router_00066_Image_46.jpg,model_pseudo,0.9016,0.502082,0.445855,0.794187,0.629387,data\raw\routers\Image_46.jpg
train,router,data\yolo_sws405\images\train\router_00067_Image_4.jpg,model_pseudo,0.8515,0.471083,0.578777,0.460812,0.664642,data\raw\routers\Image_4.jpg
train,smart_board,data\yolo_sws405\images\train\smart_board_00068_BenQ_interactive_flat_panel_school_Image_43.jpg,center_fallback,0.0000,0.500000,0.500000,0.900000,0.900000,data\raw\smart_boards\BenQ_interactive_flat_panel_school_Image_43.jpg
train,desktop_pc,data\yolo_sws405\images\train\desktop_pc_00069_computer_lab_desktop_computers_Image_22.jpg,model_pseudo,0.9654,0.192169,0.543336,0.235168,0.587132,data\raw\desktop_pcs\computer_lab_desktop_computers_Image_22.jpg
train,cctv_camera,data\yolo_sws405\images\train\cctv_camera_00070_indoor_dome_cctv_camera_Image_2.jpg,center_fallback,0.0000,0.500000,0.500000,0.900000,0.900000,data\raw\cctv_cameras\indoor_dome_cctv_camera_Image_2.jpg
train,router,data\yolo_sws405\images\train\router_00071_home_wifi_router_with_antennas_Image_2.jpg,model_pseudo,0.9540,0.438138,0.467155,0.599543,0.827856,data\raw\routers\home_wifi_router_with_antennas_Image_2.jpg
train,smart_board,data\yolo_sws405\images\train\smart_board_00072_BenQ_interactive_flat_panel_school_Image_57.jpg,center_fallback,0.0000,0.500000,0.500000,0.900000,0.900000,data\raw\smart_boards\BenQ_interactive_flat_panel_school_Image_57.jpg
train,smart_board,data\yolo_sws405\images\train\smart_board_00073_Clevertouch_board_meeting_room_Image_35.jpg,center_fallback,0.0000,0.500000,0.500000,0.900000,0.900000,data\raw\smart_boards\Clevertouch_board_meeting_room_Image_35.webp
train,smart_board,data\yolo_sws405\images\train\smart_board_00074_Clevertouch_board_meeting_room_Image_39.jpg,center_fallback,0.0000,0.500000,0.500000,0.900000,0.900000,data\raw\smart_boards\Clevertouch_board_meeting_room_Image_39.png
train,cctv_camera,data\yolo_sws405\images\train\cctv_camera_00075_outdoor_bullet_security_camera_mounted_Image_64.jpg,model_pseudo,0.2564,0.502558,0.481211,0.910473,0.480805,data\raw\cctv_cameras\outdoor_bullet_security_camera_mounted_Image_64.jpg
train,desktop_pc,data\yolo_sws405\images\train\desktop_pc_00076_computer_lab_desktop_computers_Image_12.jpg,model_pseudo,0.9315,0.852049,0.427628,0.293174,0.716595,data\raw\desktop_pcs\computer_lab_desktop_computers_Image_12.jpg
train,desktop_pc,data\yolo_sws405\images\train\desktop_pc_00077_computer_lab_desktop_computers_Image_11.jpg,model_pseudo,0.8685,0.080070,0.396533,0.159667,0.197301,data\raw\desktop_pcs\computer_lab_desktop_computers_Image_11.jpg
train,smart_board,data\yolo_sws405\images\train\smart_board_00078_BenQ_interactive_flat_panel_school_Image_8.jpg,center_fallback,0.0000,0.500000,0.500000,0.900000,0.900000,data\raw\smart_boards\BenQ_interactive_flat_panel_school_Image_8.png
train,router,data\yolo_sws405\images\train\router_00079_home_wifi_router_with_antennas_Image_20.jpg,model_pseudo,0.9047,0.500284,0.464192,0.805174,0.801975,data\raw\routers\home_wifi_router_with_antennas_Image_20.jpg
train,cctv_camera,data\yolo_sws405\images\train\cctv_camera_00080_indoor_dome_cctv_camera_Image_90.jpg,model_pseudo,0.9684,0.484375,0.515051,0.520442,0.365590,data\raw\cctv_cameras\indoor_dome_cctv_camera_Image_90.jpg
train,cctv_camera,data\yolo_sws405\images\train\cctv_camera_00081_indoor_dome_cctv_camera_Image_97.jpg,center_fallback,0.0000,0.500000,0.500000,0.900000,0.900000,data\raw\cctv_cameras\indoor_dome_cctv_camera_Image_97.jpg
train,router,data\yolo_sws405\images\train\router_00082_Image_107.jpg,center_fallback,0.0000,0.500000,0.500000,0.900000,0.900000,data\raw\routers\Image_107.jpg
train,desktop_pc,data\yolo_sws405\images\train\desktop_pc_00083_computer_lab_desktop_computers_Image_36.jpg,model_pseudo,0.8208,0.059415,0.210317,0.111824,0.078264,data\raw\desktop_pcs\computer_lab_desktop_computers_Image_36.jpg
train,router,data\yolo_sws405\images\train\router_00084_home_wifi_router_with_antennas_Image_23.jpg,model_pseudo,0.9453,0.509094,0.424319,0.726205,0.707207,data\raw\routers\home_wifi_router_with_antennas_Image_23.jpg
train,cctv_camera,data\yolo_sws405\images\train\cctv_camera_00085_indoor_dome_cctv_camera_Image_44.jpg,model_pseudo,0.9672,0.501981,0.504345,0.882537,0.936122,data\raw\cctv_cameras\indoor_dome_cctv_camera_Image_44.jpg
train,smart_board,data\yolo_sws405\images\train\smart_board_00086_SMART_Technologies_board_office_Image_4.jpg,center_fallback,0.0000,0.500000,0.500000,0.900000,0.900000,data\raw\smart_boards\SMART_Technologies_board_office_Image_4.png
train,router,data\yolo_sws405\images\train\router_00087_home_wifi_router_with_antennas_Image_25.jpg,model_pseudo,0.9720,0.571939,0.657293,0.479078,0.655857,data\raw\routers\home_wifi_router_with_antennas_Image_25.jpg
train,smart_board,data\yolo_sws405\images\train\smart_board_00088_BenQ_interactive_flat_panel_school_Image_59.jpg,center_fallback,0.0000,0.500000,0.500000,0.900000,0.900000,data\raw\smart_boards\BenQ_interactive_flat_panel_school_Image_59.png
train,smart_board,data\yolo_sws405\images\train\smart_board_00089_Clevertouch_board_meeting_room_Image_3.jpg,center_fallback,0.0000,0.500000,0.500000,0.900000,0.900000,data\raw\smart_boards\Clevertouch_board_meeting_room_Image_3.jpg
train,smart_board,data\yolo_sws405\images\train\smart_board_00090_Clevertouch_board_meeting_room_Image_30.jpg,center_fallback,0.0000,0.500000,0.500000,0.900000,0.900000,data\raw\smart_boards\Clevertouch_board_meeting_room_Image_30.jpg
train,desktop_pc,data\yolo_sws405\images\train\desktop_pc_00091_office_desktop_pc_tower_and_monitor_Image_17.jpg,model_pseudo,0.8878,0.474730,0.288488,0.471599,0.298615,data\raw\desktop_pcs\office_desktop_pc_tower_and_monitor_Image_17.jpg
train,smart_board,data\yolo_sws405\images\train\smart_board_00092_BenQ_interactive_flat_panel_school_Image_45.jpg,model_pseudo,0.8821,0.738646,0.212068,0.224150,0.289214,data\raw\smart_boards\BenQ_interactive_flat_panel_school_Image_45.png
train,cctv_camera,data\yolo_sws405\images\train\cctv_camera_00093_outdoor_bullet_security_camera_mounted_Image_63.jpg,center_fallback,0.0000,0.500000,0.500000,0.900000,0.900000,data\raw\cctv_cameras\outdoor_bullet_security_camera_mounted_Image_63.jpg
train,desktop_pc,data\yolo_sws405\images\train\desktop_pc_00094_computer_lab_desktop_computers_Image_31.jpg,model_pseudo,0.9621,0.888290,0.416465,0.171477,0.260939,data\raw\desktop_pcs\computer_lab_desktop_computers_Image_31.jpg
train,router,data\yolo_sws405\images\train\router_00095_home_wifi_router_with_antennas_Image_13.jpg,model_pseudo,0.9418,0.506595,0.650217,0.661741,0.555417,data\raw\routers\home_wifi_router_with_antennas_Image_13.jpg
train,router,data\yolo_sws405\images\train\router_00096_home_wifi_router_with_antennas_Image_37.jpg,model_pseudo,0.9430,0.509104,0.493493,0.763456,0.831984,data\raw\routers\home_wifi_router_with_antennas_Image_37.jpg
train,router,data\yolo_sws405\images\train\router_00097_home_wifi_router_with_antennas_Image_50.jpg,model_pseudo,0.9602,0.519919,0.457462,0.691416,0.670532,data\raw\routers\home_wifi_router_with_antennas_Image_50.jpg
train,router,data\yolo_sws405\images\train\router_00098_Image_21.jpg,model_pseudo,0.8135,0.510566,0.492434,0.896048,0.984868,data\raw\routers\Image_21.jpg
train,smart_board,data\yolo_sws405\images\train\smart_board_00099_SMART_Technologies_board_office_Image_56.jpg,center_fallback,0.0000,0.500000,0.500000,0.900000,0.900000,data\raw\smart_boards\SMART_Technologies_board_office_Image_56.jpg
train,desktop_pc,data\yolo_sws405\images\train\desktop_pc_00100_computer_lab_desktop_computers_Image_24.jpg,model_pseudo,0.9043,0.061509,0.616037,0.104798,0.228005,data\raw\desktop_pcs\computer_lab_desktop_computers_Image_24.jpg
train,smart_board,data\yolo_sws405\images\train\smart_board_00101_BenQ_interactive_flat_panel_school_Image_47.jpg,center_fallback,0.0000,0.500000,0.500000,0.900000,0.900000,data\raw\smart_boards\BenQ_interactive_flat_panel_school_Image_47.jpg
train,cctv_camera,data\yolo_sws405\images\train\cctv_camera_00102_indoor_dome_cctv_camera_Image_56.jpg,center_fallback,0.0000,0.500000,0.500000,0.900000,0.900000,data\raw\cctv_cameras\indoor_dome_cctv_camera_Image_56.jpg
train,cctv_camera,data\yolo_sws405\images\train\cctv_camera_00103_indoor_dome_cctv_camera_Image_68.jpg,model_pseudo,0.9327,0.540453,0.500233,0.623639,0.837839,data\raw\cctv_cameras\indoor_dome_cctv_camera_Image_68.jpeg
train,cctv_camera,data\yolo_sws405\images\train\cctv_camera_00104_outdoor_bullet_security_camera_mounted_Image_46.jpg,model_pseudo,0.9812,0.501094,0.473360,0.946709,0.847361,data\raw\cctv_cameras\outdoor_bullet_security_camera_mounted_Image_46.png
train,desktop_pc,data\yolo_sws405\images\train\desktop_pc_00105_computer_lab_desktop_computers_Image_41.jpg,model_pseudo,0.9226,0.232497,0.486025,0.103090,0.259925,data\raw\desktop_pcs\computer_lab_desktop_computers_Image_41.jpg
train,desktop_pc,data\yolo_sws405\images\train\desktop_pc_00106_office_desktop_pc_tower_and_monitor_Image_102.jpg,center_fallback,0.0000,0.500000,0.500000,0.900000,0.900000,data\raw\desktop_pcs\office_desktop_pc_tower_and_monitor_Image_102.jpg
train,cctv_camera,data\yolo_sws405\images\train\cctv_camera_00107_indoor_dome_cctv_camera_Image_79.jpg,model_pseudo,0.9697,0.484238,0.513973,0.522246,0.365186,data\raw\cctv_cameras\indoor_dome_cctv_camera_Image_79.jpg
train,smart_board,data\yolo_sws405\images\train\smart_board_00108_Promethean_interactive_display_classroom_Image_21.jpg,center_fallback,0.0000,0.500000,0.500000,0.900000,0.900000,data\raw\smart_boards\Promethean_interactive_display_classroom_Image_21.webp
train,desktop_pc,data\yolo_sws405\images\train\desktop_pc_00109_computer_lab_desktop_computers_Image_38.jpg,model_pseudo,0.7873,0.802192,0.529045,0.146666,0.125531,data\raw\desktop_pcs\computer_lab_desktop_computers_Image_38.jpeg
train,desktop_pc,data\yolo_sws405\images\train\desktop_pc_00110_office_desktop_pc_tower_and_monitor_Image_20.jpg,model_pseudo,0.9448,0.316509,0.581549,0.293255,0.696995,data\raw\desktop_pcs\office_desktop_pc_tower_and_monitor_Image_20.jpg
train,cctv_camera,data\yolo_sws405\images\train\cctv_camera_00111_outdoor_bullet_security_camera_mounted_Image_94.jpg,model_pseudo,0.9666,0.497627,0.499596,0.856413,0.534608,data\raw\cctv_cameras\outdoor_bullet_security_camera_mounted_Image_94.jpg
train,desktop_pc,data\yolo_sws405\images\train\desktop_pc_00112_computer_lab_desktop_computers_Image_15.jpg,model_pseudo,0.9208,0.870153,0.450109,0.182469,0.533767,data\raw\desktop_pcs\computer_lab_desktop_computers_Image_15.jpg
train,smart_board,data\yolo_sws405\images\train\smart_board_00113_BenQ_interactive_flat_panel_school_Image_15.jpg,center_fallback,0.0000,0.500000,0.500000,0.900000,0.900000,data\raw\smart_boards\BenQ_interactive_flat_panel_school_Image_15.jpg
train,smart_board,data\yolo_sws405\images\train\smart_board_00114_BenQ_interactive_flat_panel_school_Image_26.jpg,center_fallback,0.0000,0.500000,0.500000,0.900000,0.900000,data\raw\smart_boards\BenQ_interactive_flat_panel_school_Image_26.jpg
train,router,data\yolo_sws405\images\train\router_00115_Image_91.jpg,center_fallback,0.0000,0.500000,0.500000,0.900000,0.900000,data\raw\routers\Image_91.jpeg
train,cctv_camera,data\yolo_sws405\images\train\cctv_camera_00116_indoor_dome_cctv_camera_Image_80.jpg,model_pseudo,0.9749,0.501893,0.506890,0.695312,0.683296,data\raw\cctv_cameras\indoor_dome_cctv_camera_Image_80.jpg
train,router,data\yolo_sws405\images\train\router_00117_Image_97.jpg,center_fallback,0.0000,0.500000,0.500000,0.900000,0.900000,data\raw\routers\Image_97.jpg
train,smart_board,data\yolo_sws405\images\train\smart_board_00118_Promethean_interactive_display_classroom_Image_57.jpg,center_fallback,0.0000,0.500000,0.500000,0.900000,0.900000,data\raw\smart_boards\Promethean_interactive_display_classroom_Image_57.jpg
train,desktop_pc,data\yolo_sws405\images\train\desktop_pc_00119_computer_lab_desktop_computers_Image_45.jpg,model_pseudo,0.9611,0.141015,0.502725,0.282031,0.542001,data\raw\desktop_pcs\computer_lab_desktop_computers_Image_45.jpg
train,router,data\yolo_sws405\images\train\router_00120_Image_23.jpg,model_pseudo,0.7396,0.496027,0.679695,0.984389,0.578965,data\raw\routers\Image_23.jpg
train,smart_board,data\yolo_sws405\images\train\smart_board_00121_Promethean_interactive_display_classroom_Image_18.jpg,center_fallback,0.0000,0.500000,0.500000,0.900000,0.900000,data\raw\smart_boards\Promethean_interactive_display_classroom_Image_18.jpg
